Departamento;Latitud;Longitud
Amazonas;-1,442;-71,572
Antioquia;6,217;-75,567
Arauca;7,084;-70,759
Atlántico;10,963;-74,796
Bogotá D,C,;4,609;-74,081
Bolívar;10,391;-75,479
Boyacá;5,544;-73,357
Caldas;5,073;-75,514
Caquetá;1,614;-75,605
Casanare;5,333;-72,395
Cauca;2,444;-76,613
Cesar;10,034;-73,244
Chocó;5,694;-76,661
Córdoba;8,747;-75,881
Cundinamarca;4,648;-74,109
Guainía;2,585;-68,524
Guaviare;2,574;-72,641
Huila;2,938;-75,288
La Guajira;11,544;-72,907
Magdalena;10,391;-74,499
Meta;4,151;-73,634
Nariño;1,214;-77,281
Norte de Santander;7,946;-72,512
Putumayo;0,435;-76,636
Quindío;4,461;-75,667
Risaralda;4,813;-75,692
San Andrés;12,583;-81,701
Santander;7,119;-73,122
Sucre;9,304;-75,397
Tolima;4,437;-75,232
Valle del Cauca;3,451;-76,532
Vaupés;0,855;-70,812
Vichada;4,456;-69,287
